레벨,소모 RP,누적 RP
1,"100,000,000,000","100,000,000,000"
2,"200,000,000,000","300,000,000,000"
3,"300,000,000,000","600,000,000,000"
4,"400,000,000,000","1,000,000,000,000"
5,"500,000,000,000","1,500,000,000,000"
6,"600,000,000,000","2,100,000,000,000"
7,"700,000,000,000","2,800,000,000,000"
8,"800,000,000,000","3,600,000,000,000"
9,"900,000,000,000","4,500,000,000,000"
10,"1,000,000,000,000","5,500,000,000,000"
11,"1,100,000,000,000","6,600,000,000,000"
12,"1,200,000,000,000","7,800,000,000,000"
13,"1,300,000,000,000","9,100,000,000,000"
14,"1,400,000,000,000","10,500,000,000,000"
15,"1,500,000,000,000","12,000,000,000,000"
16,"1,600,000,000,000","13,600,000,000,000"
17,"1,700,000,000,000","15,300,000,000,000"
18,"1,800,000,000,000","17,100,000,000,000"
19,"1,900,000,000,000","19,000,000,000,000"
20,"2,000,000,000,000","21,000,000,000,000"
