레벨,소모 RP,누적 RP
1,"1,000,000,000","1,000,000,000"
2,"1,200,000,000","2,200,000,000"
3,"1,400,000,000","3,600,000,000"
4,"1,700,000,000","5,300,000,000"
5,"2,000,000,000","7,300,000,000"
6,"2,400,000,000","9,700,000,000"
7,"2,900,000,000","12,600,000,000"
8,"3,500,000,000","16,100,000,000"
9,"4,200,000,000","20,300,000,000"
10,"5,000,000,000","25,300,000,000"
11,"6,000,000,000","31,300,000,000"
12,"7,200,000,000","38,500,000,000"
13,"8,600,000,000","47,100,000,000"
14,"10,300,000,000","57,400,000,000"
15,"12,400,000,000","69,800,000,000"
16,"14,900,000,000","84,700,000,000"
17,"17,900,000,000","102,600,000,000"
18,"21,500,000,000","124,100,000,000"
19,"25,800,000,000","149,900,000,000"
20,"31,000,000,000","180,900,000,000"
21,"37,200,000,000","218,100,000,000"
22,"44,600,000,000","262,700,000,000"
23,"53,500,000,000","316,200,000,000"
24,"64,200,000,000","380,400,000,000"
25,"77,000,000,000","457,400,000,000"
26,"92,400,000,000","549,800,000,000"
27,"110,900,000,000","660,700,000,000"
28,"133,100,000,000","793,800,000,000"
29,"159,700,000,000","953,500,000,000"
30,"191,600,000,000","1,145,100,000,000"
