레벨,소모 RP,누적 RP
1,"250,000,000","250,000,000"
2,"300,000,000","550,000,000"
3,"360,000,000","910,000,000"
4,"430,000,000","1,340,000,000"
5,"520,000,000","1,860,000,000"
6,"620,000,000","2,480,000,000"
7,"750,000,000","3,230,000,000"
8,"900,000,000","4,130,000,000"
9,"1,070,000,000","5,200,000,000"
10,"1,290,000,000","6,490,000,000"
11,"1,550,000,000","8,040,000,000"
12,"1,860,000,000","9,900,000,000"
13,"2,230,000,000","12,130,000,000"
14,"2,670,000,000","14,800,000,000"
15,"3,210,000,000","18,010,000,000"
16,"3,850,000,000","21,860,000,000"
17,"4,620,000,000","26,480,000,000"
18,"5,550,000,000","32,030,000,000"
19,"6,660,000,000","38,690,000,000"
20,"7,990,000,000","46,680,000,000"
21,"9,580,000,000","56,260,000,000"
22,"11,500,000,000","67,760,000,000"
23,"13,800,000,000","81,560,000,000"
24,"16,560,000,000","98,120,000,000"
25,"19,870,000,000","117,990,000,000"
26,"23,850,000,000","141,840,000,000"
27,"28,620,000,000","170,460,000,000"
28,"34,340,000,000","204,800,000,000"
29,"41,210,000,000","246,010,000,000"
30,"49,450,000,000","295,460,000,000"
31,"100,000,000,000","395,460,000,000"
32,"400,000,000,000","795,460,000,000"
33,"2,000,000,000,000","2,795,460,000,000"
34,"10,000,000,000,000","12,795,460,000,000"
35,"40,000,000,000,000","52,795,460,000,000"
36,"300,000,000,000,000,000","300,052,795,460,000,000"
37,"500,000,000,000,000,000","800,052,795,460,000,000"
38,"700,000,000,000,000,000","1,500,052,795,460,000,000"
39,"900,000,000,000,000,000","2,400,052,795,460,000,000"
40,"1,100,000,000,000,000,000","3,500,052,795,460,000,000"
