레벨,소모 RP,누적 RP
1,"4,000,000,000,000","4,000,000,000,000"
2,"5,000,000,000,000","9,000,000,000,000"
3,"6,000,000,000,000","15,000,000,000,000"
4,"7,000,000,000,000","22,000,000,000,000"
5,"8,000,000,000,000","30,000,000,000,000"
6,"9,000,000,000,000","39,000,000,000,000"
7,"11,000,000,000,000","50,000,000,000,000"
8,"12,000,000,000,000","62,000,000,000,000"
9,"14,000,000,000,000","76,000,000,000,000"
10,"16,000,000,000,000","92,000,000,000,000"
11,"19,000,000,000,000","111,000,000,000,000"
12,"21,000,000,000,000","132,000,000,000,000"
13,"25,000,000,000,000","157,000,000,000,000"
14,"28,000,000,000,000","185,000,000,000,000"
15,"33,000,000,000,000","218,000,000,000,000"
16,"37,000,000,000,000","255,000,000,000,000"
17,"43,000,000,000,000","298,000,000,000,000"
18,"50,000,000,000,000","348,000,000,000,000"
19,"57,000,000,000,000","405,000,000,000,000"
20,"65,000,000,000,000","470,000,000,000,000"
21,"75,000,000,000,000","545,000,000,000,000"
22,"87,000,000,000,000","632,000,000,000,000"
23,"100,000,000,000,000","732,000,000,000,000"
24,"115,000,000,000,000","847,000,000,000,000"
25,"132,000,000,000,000","979,000,000,000,000"
26,"151,000,000,000,000","1,130,000,000,000,000"
27,"174,000,000,000,000","1,304,000,000,000,000"
28,"200,000,000,000,000","1,504,000,000,000,000"
29,"230,000,000,000,000","1,734,000,000,000,000"
30,"266,000,000,000,000","2,000,000,000,000,000"
31,"400,000,000,000,000","2,400,000,000,000,000"
32,"1,000,000,000,000,000","3,400,000,000,000,000"
33,"2,500,000,000,000,000","5,900,000,000,000,000"
34,"6,000,000,000,000,000","11,900,000,000,000,000"
35,"15,000,000,000,000,000","26,900,000,000,000,000"
36,"400,000,000,000,000,000","426,900,000,000,000,000"
37,"500,000,000,000,000,000","926,900,000,000,000,000"
38,"600,000,000,000,000,000","1,526,900,000,000,000,000"
39,"700,000,000,000,000,000","2,226,900,000,000,000,000"
40,"800,000,000,000,000,000","3,026,900,000,000,000,000"
