레벨,소모 RP,누적 RP
1,"10,000,000","10,000,000"
2,"10,000,000","20,000,000"
3,"10,000,000","30,000,000"
4,"10,000,000","40,000,000"
5,"10,000,000","50,000,000"
6,"30,000,000","80,000,000"
7,"30,000,000","110,000,000"
8,"30,000,000","140,000,000"
9,"30,000,000","170,000,000"
10,"30,000,000","200,000,000"
11,"100,000,000","300,000,000"
12,"100,000,000","400,000,000"
13,"100,000,000","500,000,000"
14,"100,000,000","600,000,000"
15,"100,000,000","700,000,000"
16,"300,000,000","1,000,000,000"
17,"300,000,000","1,300,000,000"
18,"300,000,000","1,600,000,000"
19,"300,000,000","1,900,000,000"
20,"300,000,000","2,200,000,000"
21,"1,000,000,000","3,200,000,000"
22,"1,000,000,000","4,200,000,000"
23,"1,000,000,000","5,200,000,000"
24,"1,000,000,000","6,200,000,000"
25,"1,000,000,000","7,200,000,000"
26,"3,000,000,000","10,200,000,000"
27,"3,000,000,000","13,200,000,000"
28,"3,000,000,000","16,200,000,000"
29,"3,000,000,000","19,200,000,000"
30,"3,000,000,000","22,200,000,000"
31,"3,000,000,000","25,200,000,000"
32,"3,000,000,000","28,200,000,000"
33,"3,000,000,000","31,200,000,000"
34,"3,000,000,000","34,200,000,000"
35,"3,000,000,000","37,200,000,000"
36,"5,000,000,000","42,200,000,000"
37,"5,000,000,000","47,200,000,000"
38,"5,000,000,000","52,200,000,000"
39,"5,000,000,000","57,200,000,000"
40,"5,000,000,000","62,200,000,000"
41,"7,000,000,000","69,200,000,000"
42,"7,000,000,000","76,200,000,000"
43,"7,000,000,000","83,200,000,000"
44,"7,000,000,000","90,200,000,000"
45,"7,000,000,000","97,200,000,000"
46,"10,000,000,000","107,200,000,000"
47,"10,000,000,000","117,200,000,000"
48,"10,000,000,000","127,200,000,000"
49,"10,000,000,000","137,200,000,000"
50,"10,000,000,000","147,200,000,000"
51,"13,000,000,000","160,200,000,000"
52,"13,000,000,000","173,200,000,000"
53,"13,000,000,000","186,200,000,000"
54,"13,000,000,000","199,200,000,000"
55,"13,000,000,000","212,200,000,000"
56,"4,000,000,000,000,000","4,000,212,200,000,000"
57,"6,000,000,000,000,000","10,000,212,200,000,000"
58,"8,000,000,000,000,000","18,000,212,200,000,000"
59,"10,000,000,000,000,000","28,000,212,200,000,000"
60,"12,000,000,000,000,000","40,000,212,200,000,000"
61,"1,400,000,000,000,000,000","1,440,000,212,200,000,000"
62,"1,700,000,000,000,000,000","3,140,000,212,200,000,000"
63,"2,000,000,000,000,000,000","5,140,000,212,200,000,000"
64,"2,300,000,000,000,000,000","7,440,000,212,200,000,000"
65,"2,600,000,000,000,000,000","10,040,000,212,200,000,000"
66,"2,800,000,000,000,000,000","12,840,000,212,200,000,000"
67,"3,400,000,000,000,000,000","16,240,000,212,200,000,000"
68,"4,000,000,000,000,000,000","20,240,000,212,200,000,000"
69,"4,600,000,000,000,000,000","24,840,000,212,200,000,000"
70,"5,200,000,000,000,000,000","30,040,000,212,200,000,000"
