레벨,소모 RP,누적 RP
1,"1,000","1,000"
2,"2,000","3,000"
3,"3,000","6,000"
4,"4,000","10,000"
5,"5,000","15,000"
6,"6,000","21,000"
7,"7,000","28,000"
8,"8,000","36,000"
9,"9,000","45,000"
10,"10,000","55,000"
11,"11,000","66,000"
12,"12,000","78,000"
13,"13,000","91,000"
14,"14,000","105,000"
15,"15,000","120,000"
16,"16,000","136,000"
17,"17,000","153,000"
18,"18,000","171,000"
19,"19,000","190,000"
20,"20,000","210,000"
21,"10,000,000","10,210,000"
22,"20,000,000","30,210,000"
23,"30,000,000","60,210,000"
24,"40,000,000","100,210,000"
25,"50,000,000","150,210,000"
