레벨,소모 RP,누적 RP
1,"4,200,000,000,000","4,200,000,000,000"
2,"4,700,000,000,000","8,900,000,000,000"
3,"5,200,000,000,000","14,100,000,000,000"
4,"5,900,000,000,000","20,000,000,000,000"
5,"6,600,000,000,000","26,600,000,000,000"
6,"7,300,000,000,000","33,900,000,000,000"
7,"8,200,000,000,000","42,100,000,000,000"
8,"9,200,000,000,000","51,300,000,000,000"
9,"10,300,000,000,000","61,600,000,000,000"
10,"11,500,000,000,000","73,100,000,000,000"
11,"12,900,000,000,000","86,000,000,000,000"
12,"14,500,000,000,000","100,500,000,000,000"
13,"16,200,000,000,000","116,700,000,000,000"
14,"18,200,000,000,000","134,900,000,000,000"
15,"20,400,000,000,000","155,300,000,000,000"
16,"22,800,000,000,000","178,100,000,000,000"
17,"25,500,000,000,000","203,600,000,000,000"
18,"28,600,000,000,000","232,200,000,000,000"
19,"32,000,000,000,000","264,200,000,000,000"
20,"35,800,000,000,000","300,000,000,000,000"
