레벨,소모 RP,누적 RP
1,2,2
2,16,18
3,48,66
4,60,126
5,80,206
6,105,311
7,135,446
8,170,616
9,210,826
10,255,"1,081"
11,305,"1,386"
12,360,"1,746"
13,420,"2,166"
14,485,"2,651"
15,555,"3,206"
16,630,"3,836"
17,710,"4,546"
18,795,"5,341"
19,885,"6,226"
20,980,"7,206"
21,"1,080","8,286"
22,"1,180","9,466"
23,"1,280","10,746"
24,"1,380","12,126"
25,"1,480","13,606"
26,"1,580","15,186"
27,"1,680","16,866"
28,"1,780","18,646"
29,"1,880","20,526"
30,"1,980","22,506"
31,"2,080","24,586"
32,"2,180","26,766"
33,"2,280","29,046"
34,"2,380","31,426"
35,"2,480","33,906"
36,"2,580","36,486"
37,"2,680","39,166"
38,"2,780","41,946"
39,"2,880","44,826"
40,"2,980","47,806"
