레벨,소모 RP,누적 RP
1,"1,000,000,000,000,000,000","1,000,000,000,000,000,000"
2,"1,200,000,000,000,000,000","2,200,000,000,000,000,000"
3,"1,300,000,000,000,000,000","3,500,000,000,000,000,000"
4,"1,500,000,000,000,000,000","5,000,000,000,000,000,000"
5,"1,800,000,000,000,000,000","6,800,000,000,000,000,000"
6,"2,000,000,000,000,000,000","8,800,000,000,000,000,000"
7,"2,400,000,000,000,000,000","11,200,000,000,000,000,000"
8,"2,800,000,000,000,000,000","14,000,000,000,000,000,000"
9,"3,200,000,000,000,000,000","17,200,000,000,000,000,000"
10,"3,700,000,000,000,000,000","20,900,000,000,000,000,000"
11,"4,300,000,000,000,000,000","25,200,000,000,000,000,000"
12,"5,000,000,000,000,000,000","30,200,000,000,000,000,000"
13,"5,800,000,000,000,000,000","36,000,000,000,000,000,000"
14,"6,700,000,000,000,000,000","42,700,000,000,000,000,000"
15,"7,700,000,000,000,000,000","50,400,000,000,000,000,000"
16,"8,900,000,000,000,000,000","59,300,000,000,000,000,000"
17,"10,300,000,000,000,000,000","69,600,000,000,000,000,000"
18,"11,900,000,000,000,000,000","81,500,000,000,000,000,000"
19,"13,800,000,000,000,000,000","95,300,000,000,000,000,000"
20,"16,000,000,000,000,000,000","111,300,000,000,000,000,000"
21,"18,500,000,000,000,000,000","129,800,000,000,000,000,000"
22,"21,400,000,000,000,000,000","151,200,000,000,000,000,000"
23,"24,800,000,000,000,000,000","176,000,000,000,000,000,000"
24,"28,700,000,000,000,000,000","204,700,000,000,000,000,000"
25,"33,200,000,000,000,000,000","237,900,000,000,000,000,000"
26,"38,400,000,000,000,000,000","276,300,000,000,000,000,000"
27,"44,400,000,000,000,000,000","320,700,000,000,000,000,000"
28,"51,400,000,000,000,000,000","372,100,000,000,000,000,000"
29,"59,400,000,000,000,000,000","431,500,000,000,000,000,000"
30,"68,500,000,000,000,000,000","500,000,000,000,000,000,000"
