레벨,소모 RP,누적 RP
1,"10,000,000","10,000,000"
2,"20,000,000","30,000,000"
3,"30,000,000","60,000,000"
4,"40,000,000","100,000,000"
5,"50,000,000","150,000,000"
6,"60,000,000","210,000,000"
7,"70,000,000","280,000,000"
8,"80,000,000","360,000,000"
9,"90,000,000","450,000,000"
10,"100,000,000","550,000,000"
11,"110,000,000","660,000,000"
12,"120,000,000","780,000,000"
13,"130,000,000","910,000,000"
14,"140,000,000","1,050,000,000"
15,"150,000,000","1,200,000,000"
16,"160,000,000","1,360,000,000"
17,"170,000,000","1,530,000,000"
18,"180,000,000","1,710,000,000"
19,"190,000,000","1,900,000,000"
20,"200,000,000","2,100,000,000"
21,"210,000,000","2,310,000,000"
22,"220,000,000","2,530,000,000"
23,"230,000,000","2,760,000,000"
24,"240,000,000","3,000,000,000"
25,"250,000,000","3,250,000,000"
26,"260,000,000","3,510,000,000"
27,"270,000,000","3,780,000,000"
28,"280,000,000","4,060,000,000"
29,"290,000,000","4,350,000,000"
30,"300,000,000","4,650,000,000"
31,"400,000,000","5,050,000,000"
32,"500,000,000","5,550,000,000"
33,"600,000,000","6,150,000,000"
34,"700,000,000","6,850,000,000"
35,"800,000,000","7,650,000,000"
36,"4,000,000,000","11,650,000,000"
37,"5,000,000,000","16,650,000,000"
38,"6,000,000,000","22,650,000,000"
39,"7,000,000,000","29,650,000,000"
40,"8,000,000,000","37,650,000,000"
41,"10,000,000,000","47,650,000,000"
42,"20,000,000,000","67,650,000,000"
43,"30,000,000,000","97,650,000,000"
44,"40,000,000,000","137,650,000,000"
45,"50,000,000,000","187,650,000,000"
46,"100,000,000,000","287,650,000,000"
47,"200,000,000,000","487,650,000,000"
48,"300,000,000,000","787,650,000,000"
49,"400,000,000,000","1,187,650,000,000"
50,"500,000,000,000","1,687,650,000,000"
51,"1,000,000,000,000","2,687,650,000,000"
52,"2,000,000,000,000","4,687,650,000,000"
53,"3,000,000,000,000","7,687,650,000,000"
54,"4,000,000,000,000","11,687,650,000,000"
55,"5,000,000,000,000","16,687,650,000,000"
56,"10,000,000,000,000","26,687,650,000,000"
57,"20,000,000,000,000","46,687,650,000,000"
58,"30,000,000,000,000","76,687,650,000,000"
59,"40,000,000,000,000","116,687,650,000,000"
60,"50,000,000,000,000","166,687,650,000,000"
61,"50,000,000,000,000","216,687,650,000,000"
62,"200,000,000,000,000","416,687,650,000,000"
63,"800,000,000,000,000","1,216,687,650,000,000"
64,"3,000,000,000,000,000","4,216,687,650,000,000"
65,"10,000,000,000,000,000","14,216,687,650,000,000"
66,"300,000,000,000,000,000","314,216,687,650,000,000"
67,"400,000,000,000,000,000","714,216,687,650,000,000"
68,"500,000,000,000,000,000","1,214,216,687,650,000,000"
69,"600,000,000,000,000,000","1,814,216,687,650,000,000"
70,"700,000,000,000,000,000","2,514,216,687,650,000,000"
