레벨,소모 RP,누적 RP
1,"2,000,000,000,000","2,000,000,000,000"
2,"3,000,000,000,000","5,000,000,000,000"
3,"3,000,000,000,000","8,000,000,000,000"
4,"4,000,000,000,000","12,000,000,000,000"
5,"4,000,000,000,000","16,000,000,000,000"
6,"5,000,000,000,000","21,000,000,000,000"
7,"6,000,000,000,000","27,000,000,000,000"
8,"7,000,000,000,000","34,000,000,000,000"
9,"8,000,000,000,000","42,000,000,000,000"
10,"9,000,000,000,000","51,000,000,000,000"
11,"10,000,000,000,000","61,000,000,000,000"
12,"12,000,000,000,000","73,000,000,000,000"
13,"14,000,000,000,000","87,000,000,000,000"
14,"16,000,000,000,000","103,000,000,000,000"
15,"18,000,000,000,000","121,000,000,000,000"
16,"21,000,000,000,000","142,000,000,000,000"
17,"24,000,000,000,000","166,000,000,000,000"
18,"27,000,000,000,000","193,000,000,000,000"
19,"31,000,000,000,000","224,000,000,000,000"
20,"36,000,000,000,000","260,000,000,000,000"
21,"41,000,000,000,000","301,000,000,000,000"
22,"47,000,000,000,000","348,000,000,000,000"
23,"54,000,000,000,000","402,000,000,000,000"
24,"62,000,000,000,000","464,000,000,000,000"
25,"71,000,000,000,000","535,000,000,000,000"
26,"81,000,000,000,000","616,000,000,000,000"
27,"93,000,000,000,000","709,000,000,000,000"
28,"107,000,000,000,000","816,000,000,000,000"
29,"123,000,000,000,000","939,000,000,000,000"
30,"141,000,000,000,000","1,080,000,000,000,000"
31,"160,000,000,000,000","1,240,000,000,000,000"
32,"190,000,000,000,000","1,430,000,000,000,000"
33,"230,000,000,000,000","1,660,000,000,000,000"
34,"280,000,000,000,000","1,940,000,000,000,000"
35,"340,000,000,000,000","2,280,000,000,000,000"
36,"2,000,000,000,000,000","4,280,000,000,000,000"
37,"3,000,000,000,000,000","7,280,000,000,000,000"
38,"5,000,000,000,000,000","12,280,000,000,000,000"
39,"8,000,000,000,000,000","20,280,000,000,000,000"
40,"12,000,000,000,000,000","32,280,000,000,000,000"
