레벨,소모 RP,누적 RP
1,"1,000,000,000,000,000","1,000,000,000,000,000"
2,"1,500,000,000,000,000","2,500,000,000,000,000"
3,"2,000,000,000,000,000","4,500,000,000,000,000"
4,"2,500,000,000,000,000","7,000,000,000,000,000"
5,"3,000,000,000,000,000","10,000,000,000,000,000"
6,"3,500,000,000,000,000","13,500,000,000,000,000"
7,"4,000,000,000,000,000","17,500,000,000,000,000"
8,"5,000,000,000,000,000","22,500,000,000,000,000"
9,"6,000,000,000,000,000","28,500,000,000,000,000"
10,"7,000,000,000,000,000","35,500,000,000,000,000"
11,"8,000,000,000,000,000","43,500,000,000,000,000"
12,"9,000,000,000,000,000","52,500,000,000,000,000"
13,"10,000,000,000,000,000","62,500,000,000,000,000"
14,"12,000,000,000,000,000","74,500,000,000,000,000"
15,"14,000,000,000,000,000","88,500,000,000,000,000"
16,"16,000,000,000,000,000","104,500,000,000,000,000"
17,"18,000,000,000,000,000","122,500,000,000,000,000"
18,"20,000,000,000,000,000","142,500,000,000,000,000"
19,"23,000,000,000,000,000","165,500,000,000,000,000"
20,"26,000,000,000,000,000","191,500,000,000,000,000"
21,"30,000,000,000,000,000","221,500,000,000,000,000"
22,"34,000,000,000,000,000","255,500,000,000,000,000"
23,"38,000,000,000,000,000","293,500,000,000,000,000"
24,"43,000,000,000,000,000","336,500,000,000,000,000"
25,"48,000,000,000,000,000","384,500,000,000,000,000"
26,"54,000,000,000,000,000","438,500,000,000,000,000"
27,"60,000,000,000,000,000","498,500,000,000,000,000"
28,"70,000,000,000,000,000","568,500,000,000,000,000"
29,"80,000,000,000,000,000","648,500,000,000,000,000"
30,"100,000,000,000,000,000","748,500,000,000,000,000"
