레벨,소모 RP,누적 RP
1,"50,000","50,000"
2,"100,000","150,000"
3,"150,000","300,000"
4,"200,000","500,000"
5,"250,000","750,000"
6,"300,000","1,050,000"
7,"350,000","1,400,000"
8,"400,000","1,800,000"
9,"450,000","2,250,000"
10,"500,000","2,750,000"
11,"550,000","3,300,000"
12,"600,000","3,900,000"
13,"650,000","4,550,000"
14,"700,000","5,250,000"
15,"750,000","6,000,000"
16,"800,000","6,800,000"
17,"850,000","7,650,000"
18,"900,000","8,550,000"
19,"950,000","9,500,000"
20,"1,000,000","10,500,000"
21,"1,050,000","11,550,000"
22,"1,100,000","12,650,000"
23,"1,150,000","13,800,000"
24,"1,200,000","15,000,000"
25,"1,250,000","16,250,000"
26,"1,300,000","17,550,000"
27,"1,350,000","18,900,000"
28,"1,400,000","20,300,000"
29,"1,450,000","21,750,000"
30,"1,500,000","23,250,000"
31,"10,000,000","33,250,000"
32,"20,000,000","53,250,000"
33,"30,000,000","83,250,000"
34,"40,000,000","123,250,000"
35,"50,000,000","173,250,000"
36,"100,000,000","273,250,000"
37,"200,000,000","473,250,000"
38,"300,000,000","773,250,000"
39,"400,000,000","1,173,250,000"
40,"500,000,000","1,673,250,000"
41,"1,000,000,000","2,673,250,000"
42,"2,000,000,000","4,673,250,000"
43,"3,000,000,000","7,673,250,000"
44,"4,000,000,000","11,673,250,000"
45,"5,000,000,000","16,673,250,000"
46,"10,000,000,000","26,673,250,000"
47,"20,000,000,000","46,673,250,000"
48,"30,000,000,000","76,673,250,000"
49,"40,000,000,000","116,673,250,000"
50,"50,000,000,000","166,673,250,000"
51,"100,000,000,000","266,673,250,000"
52,"200,000,000,000","466,673,250,000"
53,"300,000,000,000","766,673,250,000"
54,"400,000,000,000","1,166,673,250,000"
55,"500,000,000,000","1,666,673,250,000"
56,"1,000,000,000,000","2,666,673,250,000"
57,"2,000,000,000,000","4,666,673,250,000"
58,"3,000,000,000,000","7,666,673,250,000"
59,"4,000,000,000,000","11,666,673,250,000"
60,"5,000,000,000,000","16,666,673,250,000"
61,"50,000,000,000,000","66,666,673,250,000"
62,"200,000,000,000,000","266,666,673,250,000"
63,"800,000,000,000,000","1,066,666,673,250,000"
64,"3,000,000,000,000,000","4,066,666,673,250,000"
65,"10,000,000,000,000,000","14,066,666,673,250,000"
66,"200,000,000,000,000,000","214,066,666,673,250,000"
67,"300,000,000,000,000,000","514,066,666,673,250,000"
68,"400,000,000,000,000,000","914,066,666,673,250,000"
69,"500,000,000,000,000,000","1,414,066,666,673,250,000"
70,"600,000,000,000,000,000","2,014,066,666,673,250,000"
