레벨,소모 RP,누적 RP
1,"40,000,000,000,000","40,000,000,000,000"
2,"60,000,000,000,000","100,000,000,000,000"
3,"60,000,000,000,000","160,000,000,000,000"
4,"80,000,000,000,000","240,000,000,000,000"
5,"80,000,000,000,000","320,000,000,000,000"
6,"100,000,000,000,000","420,000,000,000,000"
7,"120,000,000,000,000","540,000,000,000,000"
8,"140,000,000,000,000","680,000,000,000,000"
9,"160,000,000,000,000","840,000,000,000,000"
10,"180,000,000,000,000","1,020,000,000,000,000"
11,"200,000,000,000,000","1,220,000,000,000,000"
12,"240,000,000,000,000","1,460,000,000,000,000"
13,"280,000,000,000,000","1,740,000,000,000,000"
14,"320,000,000,000,000","2,060,000,000,000,000"
15,"360,000,000,000,000","2,420,000,000,000,000"
16,"420,000,000,000,000","2,840,000,000,000,000"
17,"480,000,000,000,000","3,320,000,000,000,000"
18,"540,000,000,000,000","3,860,000,000,000,000"
19,"620,000,000,000,000","4,480,000,000,000,000"
20,"720,000,000,000,000","5,200,000,000,000,000"
21,"820,000,000,000,000","6,020,000,000,000,000"
22,"940,000,000,000,000","6,960,000,000,000,000"
23,"1,080,000,000,000,000","8,040,000,000,000,000"
24,"1,240,000,000,000,000","9,280,000,000,000,000"
25,"1,420,000,000,000,000","10,700,000,000,000,000"
26,"1,620,000,000,000,000","12,320,000,000,000,000"
27,"1,860,000,000,000,000","14,180,000,000,000,000"
28,"2,140,000,000,000,000","16,320,000,000,000,000"
29,"2,460,000,000,000,000","18,780,000,000,000,000"
30,"2,820,000,000,000,000","21,600,000,000,000,000"
31,"400,000,000,000,000,000","421,600,000,000,000,000"
32,"600,000,000,000,000,000","1,021,600,000,000,000,000"
33,"800,000,000,000,000,000","1,821,600,000,000,000,000"
34,"1,000,000,000,000,000,000","2,821,600,000,000,000,000"
35,"1,200,000,000,000,000,000","4,021,600,000,000,000,000"
