레벨,소모 RP,누적 RP
1,"10,000,000","10,000,000"
2,"20,000,000","30,000,000"
3,"30,000,000","60,000,000"
4,"40,000,000","100,000,000"
5,"50,000,000","150,000,000"
6,"60,000,000","210,000,000"
7,"70,000,000","280,000,000"
8,"80,000,000","360,000,000"
9,"90,000,000","450,000,000"
10,"100,000,000","550,000,000"
11,"110,000,000","660,000,000"
12,"120,000,000","780,000,000"
13,"130,000,000","910,000,000"
14,"140,000,000","1,050,000,000"
15,"150,000,000","1,200,000,000"
16,"160,000,000","1,360,000,000"
17,"170,000,000","1,530,000,000"
18,"180,000,000","1,710,000,000"
19,"190,000,000","1,900,000,000"
20,"200,000,000","2,100,000,000"
21,"1,000,000,000","3,100,000,000"
22,"5,000,000,000","8,100,000,000"
23,"20,000,000,000","28,100,000,000"
24,"100,000,000,000","128,100,000,000"
25,"1,000,000,000,000","1,128,100,000,000"
26,"400,000,000,000,000,000","400,001,128,100,000,000"
27,"500,000,000,000,000,000","900,001,128,100,000,000"
28,"600,000,000,000,000,000","1,500,001,128,100,000,000"
29,"700,000,000,000,000,000","2,200,001,128,100,000,000"
30,"800,000,000,000,000,000","3,000,001,128,100,000,000"
